City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
321,Bedele,ET,8.46,36.35,67.08,87,79,2.77,light rain
322,Butembo,CD,0.15,29.28,71.64,67,73,0.69,light rain
323,Waddan,LY,29.16,16.14,105.64,8,0,19.55,clear sky
324,Road Town,VG,18.42,-64.62,84.24,84,75,11.5,broken clouds
325,Saldanha,ZA,-33.01,17.94,80.65,41,48,10.94,scattered clouds
326,San Blas,MX,21.52,-105.27,78.76,86,30,3.49,scattered clouds
327,Hailey,US,43.52,-114.32,51.89,70,0,11.5,clear sky
328,Padang,ID,-0.95,100.35,75.25,88,93,0.65,light rain
329,Tabou,CI,4.42,-7.35,80.65,70,59,9.53,broken clouds
330,Ageyevo,RU,54.16,36.47,50.27,94,100,7.7,light rain
331,Cabinda,AO,-5.55,12.2,82.54,65,40,9.22,scattered clouds
332,Gazli,UZ,40.13,63.45,87.33,11,0,9.28,clear sky
333,Nokaneng,BW,-19.67,22.27,86.54,6,0,7.85,clear sky
334,Yar-Sale,RU,66.83,70.83,43.29,74,99,19.08,overcast clouds
335,Vila,PT,42.03,-8.16,77.7,49,1,7.14,clear sky
336,Russell,US,32.35,-85.2,81.97,58,0,4.18,clear sky
337,Jiaocheng,CN,24.68,116.14,74.34,90,39,2.33,scattered clouds
338,Faanui,PF,-16.48,-151.75,78.06,76,13,21.16,few clouds
339,Bara,NG,10.37,10.73,85.78,56,71,7.27,light rain
340,Buala,SB,-8.14,159.59,74.41,94,100,5.99,moderate rain
341,Ambon,ID,-3.7,128.18,79.23,14,20,8.05,few clouds
342,Dunedin,NZ,-45.87,170.5,46.8,87,30,4.29,scattered clouds
343,Gushikawa,JP,26.35,127.87,78.03,83,9,7.29,clear sky
344,Verkhoyansk,RU,67.54,133.38,32.52,85,100,15.1,overcast clouds
345,Ciudad Bolivar,VE,8.12,-63.55,84.97,66,100,4.18,overcast clouds
346,Nacala,MZ,-14.54,40.67,81.72,61,75,5.75,broken clouds
347,Salalah,OM,17.02,54.09,80.56,82,99,7.96,overcast clouds
348,Valdivia,CL,-39.81,-73.25,39.29,81,91,0.98,overcast clouds
349,Mujiayingzi,CN,42.12,118.78,61.81,41,4,15.19,clear sky
350,Half Moon Bay,US,37.46,-122.43,63.25,92,100,0.0,moderate rain
351,Mehamn,NO,71.04,27.85,44.55,87,100,10.36,light rain
352,Vestmannaeyjar,IS,63.44,-20.27,52.79,87,75,12.66,broken clouds
353,Nara,JP,34.69,135.8,69.49,47,100,3.29,overcast clouds
354,Hambantota,LK,6.12,81.12,86.34,70,20,11.5,few clouds
355,Belmonte,BR,-15.86,-38.88,79.38,69,50,12.15,scattered clouds
356,Raudeberg,NO,61.99,5.14,61.95,64,100,21.25,overcast clouds
357,Washougal,US,45.58,-122.35,58.24,82,41,11.01,scattered clouds
358,Waipawa,NZ,-41.41,175.52,48.34,94,100,8.7,light rain
